patent_type,state,year,patent_counts
plant,Florida,1997,36
plant,Florida,1998,29
plant,Florida,1999,32
plant,Florida,2000,21
plant,Florida,2001,53
plant,Florida,2002,104
plant,Florida,2003,70
plant,Florida,2004,72
plant,Florida,2005,27
plant,Florida,2006,67
plant,Florida,2007,88
plant,Florida,2008,76
plant,Florida,2009,81
plant,Florida,2010,90
plant,Florida,2011,27
plant,Florida,2012,51
plant,Florida,2013,71
plant,Florida,2014,37
plant,Florida,2015,70
plant,Florida,2016,83
plant,Florida,2017,46
plant,Florida,2018,46
plant,Florida,2019,44
plant,Florida,2020,39
plant,Florida,2021,43
plant,Florida,2022,7
plant,Georgia,1977,1
plant,Georgia,1981,4
plant,Georgia,1982,1
plant,Georgia,1985,1
plant,Georgia,1986,3
plant,Georgia,1988,2
plant,Georgia,1989,1
plant,Georgia,1990,9
plant,Georgia,1991,7
plant,Georgia,1995,4
plant,Georgia,1996,1
plant,Georgia,1997,3
plant,Georgia,1998,2
plant,Georgia,1999,3
plant,Georgia,2000,7
plant,Georgia,2001,1
plant,Georgia,2002,14
plant,Georgia,2003,5
plant,Georgia,2004,10
plant,Georgia,2005,4
plant,Georgia,2006,27
plant,Georgia,2007,20
plant,Georgia,2008,15
plant,Georgia,2009,17
plant,Georgia,2010,25
plant,Georgia,2011,20
plant,Georgia,2012,23
plant,Georgia,2013,25
plant,Georgia,2014,21
plant,Georgia,2015,58
plant,Georgia,2016,57
plant,Georgia,2017,41
plant,Georgia,2018,29
plant,Georgia,2019,45
plant,Georgia,2020,36
plant,Georgia,2021,27
plant,Georgia,2022,12
plant,Hawaii,1988,1
plant,Hawaii,1989,1
plant,Hawaii,1991,1
plant,Hawaii,1993,5
plant,Hawaii,1994,2
plant,Hawaii,1995,2
plant,Hawaii,1996,1
plant,Hawaii,1997,3
plant,Hawaii,1999,5
plant,Hawaii,2000,2
plant,Hawaii,2001,1
plant,Hawaii,2002,7
plant,Hawaii,2003,1
plant,Hawaii,2004,1
plant,Hawaii,2005,1
plant,Hawaii,2006,3
plant,Hawaii,2008,1
plant,Hawaii,2009,8
plant,Hawaii,2010,3
plant,Hawaii,2011,2
plant,Hawaii,2012,1
plant,Hawaii,2013,3
plant,Hawaii,2014,3
plant,Hawaii,2015,4
plant,Hawaii,2016,5
plant,Hawaii,2017,3
plant,Hawaii,2018,3
plant,Hawaii,2019,1
plant,Hawaii,2020,6
plant,Idaho,1982,1
plant,Idaho,1983,1
plant,Idaho,1986,1
plant,Idaho,1990,1
plant,Idaho,1991,1
plant,Idaho,1999,1
plant,Idaho,2001,1
plant,Idaho,2004,1
plant,Idaho,2005,1
plant,Idaho,2016,1
plant,Idaho,2019,1
plant,Illinois,1976,2
plant,Illinois,1977,2
plant,Illinois,1978,14
plant,Illinois,1979,7
plant,Illinois,1980,1
plant,Illinois,1981,6
plant,Illinois,1982,1
plant,Illinois,1983,8
plant,Illinois,1984,4
plant,Illinois,1985,4
plant,Illinois,1986,3
plant,Illinois,1988,10
plant,Illinois,1989,8
plant,Illinois,1990,1
plant,Illinois,1991,6
plant,Illinois,1992,2
plant,Illinois,1993,7
plant,Illinois,1994,2
plant,Illinois,1995,5
plant,Illinois,1996,12
plant,Illinois,1997,7
plant,Illinois,1999,5
plant,Illinois,2000,6
plant,Illinois,2001,6
plant,Illinois,2002,4
plant,Illinois,2003,15
plant,Illinois,2004,20
plant,Illinois,2005,5
plant,Illinois,2006,13
plant,Illinois,2007,10
plant,Illinois,2008,17
plant,Illinois,2009,12
plant,Illinois,2010,13
plant,Illinois,2011,3
plant,Illinois,2012,12
plant,Illinois,2013,18
plant,Illinois,2014,21
plant,Illinois,2015,17
plant,Illinois,2016,10
plant,Illinois,2017,8
plant,Illinois,2018,7
plant,Illinois,2019,18
plant,Illinois,2020,12
plant,Illinois,2021,12
plant,Indiana,1976,4
plant,Indiana,1977,9
plant,Indiana,1978,12
plant,Indiana,1979,8
plant,Indiana,1980,6
plant,Indiana,1981,8
plant,Indiana,1982,7
plant,Indiana,1983,3
plant,Indiana,1984,3
plant,Indiana,1985,4
plant,Indiana,1986,4
plant,Indiana,1987,1
plant,Indiana,1988,5
plant,Indiana,1989,2
plant,Indiana,1993,4
plant,Indiana,1994,1
plant,Indiana,1995,8
plant,Indiana,1997,4
plant,Indiana,1998,1
plant,Indiana,1999,1
plant,Indiana,2001,18
plant,Indiana,2002,9
plant,Indiana,2003,6
plant,Indiana,2004,10
plant,Indiana,2005,4
plant,Indiana,2006,8
plant,Indiana,2007,3
plant,Indiana,2009,1
plant,Indiana,2010,2
plant,Indiana,2011,3
plant,Indiana,2014,2
plant,Indiana,2015,4
plant,Indiana,2016,2
plant,Indiana,2018,4
plant,Indiana,2019,3
plant,Indiana,2021,2
plant,Indiana,2022,1
plant,Iowa,1977,3
plant,Iowa,1978,1
plant,Iowa,1981,2
plant,Iowa,1984,2
plant,Iowa,1986,5
plant,Iowa,1988,1
plant,Iowa,2002,1
plant,Iowa,2007,2
plant,Iowa,2018,1
plant,Kansas,1982,1
plant,Kansas,1990,1
plant,Kansas,1993,2
plant,Kansas,2007,1
plant,Kansas,2018,2
plant,Kansas,2020,2
plant,Kentucky,1977,1
plant,Kentucky,1985,1
plant,Kentucky,1986,1
plant,Kentucky,1988,1
plant,Kentucky,1989,1
plant,Kentucky,1997,2
plant,Kentucky,1998,1
plant,Kentucky,1999,1
