year,International Business Machines Corporation,"Samsung Electronics Co., Ltd.",Canon Kabushiki Kaisha,Intel Corporation,LG ELECTRONICS INC.,QUALCOMM Incorporated,Apple Inc.,"Microsoft Technology Licensing, LLC",Sony Corporation,Google Inc.,"Samsung Display Co., Ltd.","Samsung Display Co., Ltd.","Taiwan Semiconductor Manufacturing Co., Ltd.","Amazon Technologies, Inc.","Ford Global Technologies, LLC","BOE TECHNOLOGY GROUP CO., LTD.","HUAWEI TECHNOLOGIES CO., LTD.",Dümmen Group B.V.,"Walters Gardens, Inc.",General Electric Company
2018,1867,1273,644,618,535,529,483,456,415,430,405,422,410,391,387,374,332,70,56,331
2019,0,31,1,0,31,1,2,2,11,0,7,2,7,1,0,0,2,80,86,2
2020,0,24,1,0,22,1,2,2,9,4,6,0,1,1,0,0,13,65,104,1
2021,0,16,4,2,21,1,1,2,8,0,6,3,0,0,0,0,9,96,55,0
2022,0,9,1,0,5,1,1,1,4,0,3,0,3,0,0,0,3,30,39,0
