node1,node2,year,patent_counts
B29,H01,2020,209
C12,Y10,2015,209
Y10,F05,2013,209
A61,H02,2021,209
C08,B32,2015,209
A61,B82,2017,209
G01,B65,2019,209
F16,B62,2015,209
Y02,C09,2016,209
B23,H01,2016,208
A61,B29,2015,208
F02,B60,2018,208
H01,B32,2015,208
C07,C09,2011,208
G01,G09,2016,208
B32,C09,2015,208
F16,B23,2016,208
G02,B29,2015,208
B32,B29,2022,208
B32,C08,2022,208
C23,Y10,2019,207
F16,F05,2018,207
G11,H03,2012,207
G03,G06,2013,207
B82,G11,2011,207
G02,G01,2012,207
H01,F16,2016,207
Y02,C12,2018,207
Y02,B29,2019,207
C08,G02,2015,207
B23,Y02,2016,206
G06,H02,2014,206
C09,Y10,2021,206
B60,G02,2018,206
H01,C07,2011,206
Y10,B82,2020,206
H02,G01,2013,205
A61,C09,2014,205
F02,G01,2020,205
C07,H01,2016,205
B65,G03,2016,205
F01,F16,2015,204
H01,B29,2017,204
B65,F16,2019,204
H03,Y02,2016,204
Y10,F05,2017,204
Y10,B62,2016,204
B65,A61,2015,204
G02,B29,2016,204
H03,G11,2018,204
F16,G01,2015,204
F02,G01,2017,204
G01,G07,2018,203
A61,G09,2016,203
G07,B60,2017,203
B32,B29,2013,203
G02,C09,2018,203
B65,B29,2019,203
B82,H01,2017,203
B65,G01,2020,203
G11,Y02,2020,203
G06,B65,2021,203
G09,G01,2017,203
G01,F16,2018,203
B01,A61,2022,203
B65,G03,2018,202
H01,B01,2017,202
B01,A61,2012,202
G03,H01,2022,202
Y10,B82,2018,201
B01,C12,2012,201
B32,B60,2020,201
G02,H02,2020,201
B32,B65,2019,201
G11,H03,2018,201
G09,Y10,2015,201
C09,B32,2017,201
Y02,A61,2018,201
Y10,C23,2016,201
B01,H01,2021,201
C09,Y02,2011,201
F16,F02,2014,200
G01,B65,2021,200
G03,H01,2011,200
B29,A61,2017,200
B29,H01,2021,200
G03,H01,2012,200
G03,C08,2016,200
Y02,B23,2021,200
G01,H02,2013,200
Y10,H02,2018,200
Y10,G11,2014,200
C08,B32,2018,200
Y02,B82,2014,200
H05,A61,2019,200
G02,Y02,2016,200
G02,G06,2013,199
Y10,C08,2018,199
B29,B65,2014,199
B29,F16,2018,199
C08,G02,2016,199
C08,C07,2022,199
A61,F16,2018,199
F01,B01,2016,199
Y02,C12,2011,199
G07,H04,2014,199
Y10,C07,2015,198
G01,H03,2015,198
G07,G01,2017,198
H05,H04,2014,198
F01,B01,2015,198
G11,Y02,2021,198
B82,G01,2013,198
H01,B60,2013,198
B65,G03,2017,198
Y10,C09,2020,198
H05,B60,2021,198
Y02,F16,2022,198
B29,A61,2015,198
F16,H02,2022,198
G16,H04,2018,197
G02,G09,2011,197
A61,F16,2016,197
Y10,F02,2016,197
F02,F05,2011,197
F05,F16,2018,197
B32,H05,2020,197
C09,G02,2014,197
G03,C08,2014,197
Y02,B82,2016,197
C08,A61,2011,196
B23,H01,2015,196
Y02,C09,2017,196
Y02,C08,2014,196
B60,F02,2013,196
Y10,F02,2017,196
B82,Y02,2015,196
C08,B60,2019,195
C07,Y10,2016,195
B62,Y10,2011,195
C09,H05,2018,195
B29,B60,2021,195
C08,B01,2014,195
G02,A61,2014,195
C12,Y10,2016,194
Y02,C07,2022,194
H04,G16,2015,194
G11,B82,2014,194
B65,G03,2015,194
B29,F16,2016,193
H01,B01,2021,193
C07,C08,2011,193
G01,G03,2016,193
C08,B29,2013,193
F16,F01,2014,193
B65,F16,2020,192
Y02,A61,2013,192
B60,G06,2013,192
G07,B60,2018,192
B01,H01,2016,192
A61,C09,2015,192
A61,H01,2012,192
G02,Y02,2018,192
H02,H05,2014,192
B01,B82,2011,192
Y10,B65,2018,192
F16,H01,2017,192
B62,F16,2016,192
G02,H02,2019,192
H01,A61,2013,192
G11,H03,2011,192
B60,G01,2011,192
B82,Y10,2019,191
A61,H05,2016,191
Y02,H03,2019,191
G03,Y10,2017,191
A61,B65,2013,191
Y02,C09,2018,191
G02,B32,2020,191
F16,F05,2017,191
B01,F02,2019,191
G01,B82,2021,191
B62,B60,2011,191
B32,C08,2014,191
C09,B82,2014,190
A61,F16,2015,190
G01,G16,2022,190
B29,G02,2021,190
B65,G03,2013,190
G01,H03,2014,190
C07,H01,2018,190
B32,F16,2019,190
B29,B23,2021,190
Y10,F05,2012,190
C23,Y02,2021,190
H01,C07,2012,190
C09,B32,2016,189
G09,H05,2015,189
A61,B01,2012,189
Y10,C07,2013,189
G06,H05,2011,189
F02,Y10,2011,189
F01,F16,2014,189
C08,B82,2014,189
A61,H05,2015,189
G01,G09,2015,189
B29,G02,2017,189
B65,G03,2014,188
G06,B62,2020,188
Y10,B23,2021,188
H03,G01,2014,188
F16,B23,2021,188
H02,B60,2012,188
B01,B82,2013,188
G01,H05,2015,187
G02,H02,2021,187
F02,Y10,2018,187
B32,C08,2013,187
F01,G01,2019,187
C07,C09,2012,187
G09,G01,2016,187
G06,B60,2014,186
G11,Y02,2019,186
H01,G09,2014,186
G06,G03,2011,186
F16,B23,2015,186
H01,C08,2022,186
B60,H05,2017,186
B01,F01,2013,185
H01,B23,2012,185
G09,G11,2018,185
B32,G02,2017,185
H01,B01,2016,185
G16,G01,2022,185
Y02,H03,2020,185
Y10,G06,2020,185
Y02,C08,2018,185
G02,C08,2020,185
B32,H05,2019,184
Y02,C09,2021,184
G16,G01,2016,184
Y02,G02,2020,184
B82,H01,2019,184
B01,F02,2020,184
A61,B29,2018,184
G02,C08,2019,184
G03,G01,2017,184
H05,G06,2012,183
G09,Y02,2016,183
B01,C08,2012,183
G09,H05,2016,183
B29,A61,2016,183
F16,H02,2014,183
G09,G11,2017,183
H01,B23,2011,183
B01,B82,2016,183
F16,H04,2020,183
H02,Y10,2020,183
A61,C09,2018,182
H03,H02,2014,182
B29,C09,2019,182
C07,B01,2012,182
B82,H01,2020,182
C09,B82,2015,182
B62,F16,2018,181
H03,Y02,2018,181
G02,H05,2014,181
B60,H04,2014,181
Y02,G09,2020,181
C07,B01,2011,181
H03,G11,2013,181
C09,B82,2016,181
H01,F16,2018,181
B01,F01,2014,181
Y10,F05,2016,181
G01,H05,2022,181
G03,C09,2019,180
C23,Y02,2017,180
F16,F02,2022,180
G01,B62,2019,180
B60,H05,2018,180
G02,C09,2015,180
G01,G03,2018,180
B29,C08,2022,180
B23,F16,2021,180
F02,G01,2018,179
B82,Y10,2018,179
C08,G03,2014,179
C23,Y02,2020,179
Y02,C09,2015,179
C09,H05,2020,179
G09,H01,2013,179
Y10,F02,2012,179
B01,H01,2014,179
B01,F01,2012,179
H02,F05,2021,179
F16,F01,2022,179
B23,H01,2014,179
F16,B65,2019,179
Y02,B23,2020,179
C12,G16,2021,179
B29,C09,2021,178
H02,F16,2022,178
H05,H03,2019,178
C12,G16,2019,178
Y02,B62,2021,178
G01,B60,2013,178
G11,G01,2011,178
B60,G09,2019,178
B82,Y02,2016,177
H02,F05,2020,177
H02,H03,2014,177
B32,Y02,2015,177
G02,Y02,2015,177
C12,Y10,2017,177
G09,H05,2017,177
B82,H01,2021,177
A61,H04,2011,177
F02,F16,2014,176
C08,B01,2013,176
G03,C08,2017,176
G03,C08,2019,176
G16,G01,2014,176
Y02,A61,2012,176
G02,G06,2012,176
Y02,G02,2019,176
C08,B29,2012,176
F02,G01,2021,176
B29,Y02,2012,176
B29,C09,2020,176
F05,Y10,2011,176
B01,B82,2017,176
F16,A61,2019,175
G09,G11,2016,175
C08,G02,2013,175
G01,G07,2016,175
B82,G11,2012,175
B01,H01,2018,175
B01,C08,2011,175
H03,H02,2022,175
B60,G09,2020,175
F16,A61,2020,175
G16,C12,2019,174
H04,A61,2012,174
F02,Y10,2019,174
Y10,B60,2020,174
Y10,F02,2011,174
B29,Y02,2011,174
C23,Y10,2018,174
B23,Y02,2015,174
F16,H04,2021,174
B32,B65,2017,174
G01,B62,2021,174
G03,C08,2015,173
B01,C09,2020,173
F02,F16,2022,173
B65,B29,2020,173
Y10,B65,2020,173
C09,G02,2012,173
A61,B82,2012,173
H01,A61,2012,173
G03,H05,2020,173
C07,C09,2022,173
H03,Y02,2015,172
C23,Y10,2020,172
G06,G03,2022,172
C08,B82,2015,172
B32,H01,2015,172
Y02,B29,2017,172
C08,G03,2016,171
H03,H05,2020,171
H03,G11,2012,171
Y10,A61,2021,171
H02,G01,2012,171
G07,G01,2018,171
A61,B82,2019,171
H05,G06,2011,171
F01,G01,2020,171
B62,G01,2020,171
B01,C12,2011,171
B32,H05,2021,170
B29,B23,2020,170
C08,G03,2015,170
B29,H01,2016,170
H05,A61,2021,170
B32,B60,2021,170
B65,Y10,2021,169
G03,G01,2016,169
H01,B60,2012,169
Y10,C12,2015,169
B29,C08,2012,169
H04,G16,2014,169
A61,G02,2012,169
C08,G02,2018,168
C08,G02,2014,168
C09,C07,2022,168
G07,H04,2013,168
B82,Y02,2017,168
H01,B01,2015,168
F16,H04,2019,168
Y02,B82,2013,168
G02,C08,2021,168
F01,Y10,2019,168
G03,G06,2012,168
G01,F01,2019,168
C08,B32,2014,167
B65,G01,2017,167
G09,Y10,2011,167
B65,A61,2014,167
F05,F02,2011,167
A61,H02,2017,167
B29,B60,2016,167
F05,Y10,2018,167
H01,B29,2021,167
A61,G09,2015,167
G06,B62,2021,167
G02,C08,2017,167
C08,B82,2013,167
B01,F01,2011,167
G02,C09,2013,166
Y02,B82,2017,166
B60,F02,2012,166
B60,G02,2017,166
Y02,C08,2013,166
B01,F16,2020,166
F16,G06,2019,166
G03,G01,2015,166
Y10,H02,2019,166
C08,B60,2021,165
C12,B01,2015,165
G01,B82,2019,165
G11,G01,2012,165
C08,B60,2017,165
B29,B23,2019,165
C12,G16,2020,165
G01,B62,2020,165
H05,G02,2022,165
B65,B29,2021,165
B29,B32,2013,165
G01,B65,2017,165
B01,B82,2012,165
G07,G01,2016,165
H02,G06,2013,165
B29,B65,2013,164
B29,H01,2017,164
B32,F16,2020,164
B29,A61,2018,164
G09,Y10,2014,164
B23,F16,2016,164
C08,B29,2011,164
B29,G02,2015,164
F01,B01,2012,164
C08,B32,2022,164
G06,G02,2012,164
G02,B29,2018,164
B62,Y02,2017,164
H01,B29,2016,164
G16,G01,2015,163
G09,Y02,2015,163
H01,A61,2011,163
Y02,G02,2021,163
F16,B23,2018,163
B29,B32,2022,163
B01,B65,2020,163
H05,G01,2015,163
B65,G01,2016,163
B62,G01,2019,162
C23,Y02,2015,162
C09,B32,2018,162
F01,B01,2013,162
G16,C12,2021,162
G02,A61,2022,162
G01,G03,2015,162
G02,B82,2014,162
G09,H01,2012,162
G06,B29,2020,162
B60,B65,2020,162
B82,G03,2014,162
B29,F16,2015,162
A61,H05,2022,162
B60,B29,2021,161
A61,B65,2022,161
B32,H01,2014,161
F16,B65,2021,161
B01,A61,2011,161
B82,Y02,2013,161
G02,B82,2016,161
B29,G02,2018,161
B60,H05,2016,161
G02,C08,2016,161
G02,B82,2011,161
C23,B32,2019,161
F16,H02,2013,161
H02,B60,2011,161
F01,B01,2014,161
B23,G01,2019,161
G06,B29,2021,160
B29,C08,2011,160
B82,G03,2013,160
H05,G02,2014,160
G03,B82,2014,160
G01,G09,2018,160
G01,F01,2020,160
Y02,B62,2019,160
Y02,C09,2013,160
F16,G03,2021,160
B29,F16,2014,160
G01,B65,2016,159
H03,G11,2011,159
G01,B82,2020,159
B32,G02,2018,159
G09,H01,2011,159
F05,F16,2017,159
H01,F16,2015,159
C23,Y02,2018,159
C12,B01,2014,159
H05,B60,2017,159
F16,G03,2019,159
B32,C09,2022,159
G01,F16,2015,159
F16,B65,2020,159
F05,H02,2020,158
G16,H04,2016,158
B32,C08,2012,158
B65,F16,2017,158
C09,B82,2013,158
A61,B01,2011,158
G03,C09,2016,158
G03,G01,2018,158
C08,B60,2016,158
Y10,H04,2018,158
A61,B82,2020,158
G02,H05,2022,158
H01,B60,2011,158
F16,F01,2013,158
B01,Y10,2021,158
A61,B82,2021,158
A61,B60,2021,158
B60,H01,2012,157
C12,B01,2018,157
G02,B82,2013,157
B29,G02,2016,157
F16,H05,2019,157
B65,G03,2021,157
B29,B60,2017,157
G02,B32,2019,157
B29,A61,2014,157
G02,Y10,2020,157
H01,B01,2018,157
B23,Y02,2022,157
C09,Y02,2022,157
F16,B29,2019,157
C07,Y10,2017,157
G02,H02,2017,157
F16,H01,2016,157
Y02,A61,2011,156
H04,Y10,2021,156
B01,C09,2017,156
B01,F02,2017,156
G02,C09,2014,156
H02,Y10,2021,156
A61,H02,2018,156
A61,B60,2020,156
F16,H01,2018,156
B65,G03,2020,156
G02,B29,2014,156
A61,G09,2018,156
Y02,B62,2020,156
Y02,G09,2021,155
G09,H05,2018,155
F16,G01,2022,155
Y10,H05,2020,155
C23,Y02,2014,155
C07,H01,2014,155
H05,C09,2015,155
B65,F16,2016,155
C08,B82,2017,155
Y02,B23,2019,155
C08,B82,2016,155
H05,H04,2013,155
C23,Y02,2012,155
Y10,B62,2017,155
G01,G07,2022,154
Y02,C08,2021,154
H01,B65,2021,154
H02,H04,2013,154
B65,B29,2017,154
B01,H01,2011,154
Y10,G02,2019,154
Y10,F05,2011,154
F02,H02,2020,154
H01,A61,2022,154
G02,B82,2017,154
G09,Y10,2016,154
H04,F16,2020,154
C08,G03,2013,154
B29,G01,2019,154
H05,H03,2021,154
B29,B32,2011,154
B65,B60,2020,154
G03,G06,2022,153
F16,B62,2014,153
H05,B23,2017,153
B23,B29,2020,153
G03,B82,2013,153
C08,B01,2022,153
F01,B60,2020,153
B62,G01,2021,153
G01,G16,2013,153
C08,B60,2015,153
B82,G03,2012,153
B32,G02,2016,152
B29,G01,2021,152
B01,C09,2021,152
G03,B82,2012,152
B29,B32,2012,152
G02,B82,2012,152
G01,H02,2012,152
B29,G06,2020,152
G09,Y02,2018,151
G02,B60,2017,151
H02,G02,2021,151
C08,G03,2017,151
G09,G01,2015,151
H05,C09,2016,151
G16,C12,2020,151
C23,C09,2019,151
C09,G01,2019,151
B82,G01,2015,151
B60,F02,2022,151
A61,C09,2013,151
F16,B29,2020,151
G07,B60,2022,150
Y10,H04,2019,150
B60,G09,2021,150
B62,F16,2015,150
G11,Y02,2017,150
Y10,G02,2018,150
F01,B01,2018,150
Y02,C09,2014,150
G01,B82,2018,150
H05,C09,2017,150
F02,B60,2013,150
H02,F16,2014,150
H04,H02,2013,150
B65,Y02,2017,150
H04,B60,2014,150
C09,B82,2020,150
C23,B32,2021,150
Y02,B29,2018,149
F05,F16,2022,149
H02,H05,2013,149
B01,C09,2019,149
B65,G06,2016,149
F16,G06,2021,149
B60,B29,2020,149
G03,H05,2019,149
B32,C09,2014,149
B60,G02,2022,149
F16,F05,2022,149
Y02,B23,2017,149
G09,A61,2020,149
C09,B82,2019,149
B29,G06,2021,149
B01,F16,2021,148
C09,B32,2015,148
Y10,C12,2016,148
B32,Y02,2022,148
A61,B29,2022,148
H05,G02,2013,148
C09,B82,2021,148
C09,G02,2011,148
B60,B29,2019,148
B32,G06,2020,148
Y10,B29,2021,148
B65,Y02,2016,148
G02,C09,2011,148
B23,H05,2019,148
H02,F02,2020,147
B23,H01,2018,147
H04,H05,2013,147
C09,H05,2021,147
B82,H01,2018,147
G02,C09,2012,147
G16,Y02,2022,147
H05,A61,2017,147
B65,B60,2019,147
F02,G01,2016,147
G01,G09,2014,147
H01,B65,2020,147
B65,G06,2017,147
F01,B01,2011,147
C23,Y02,2016,147
H02,G02,2020,146
Y10,G09,2015,146
G06,F16,2020,146
G09,G01,2014,146
G11,G01,2014,146
A61,H05,2014,146
B82,Y02,2012,146
B32,A61,2020,146
F16,G06,2020,146
Y02,C08,2011,146
B32,B29,2011,146
C08,H05,2020,146
G01,F02,2019,146
F02,F16,2013,146
H01,B23,2022,146
Y10,C09,2021,146
H01,G09,2013,146
H05,A61,2018,145
G11,Y02,2016,145
H05,B23,2019,145
G16,H04,2015,145
B32,B60,2019,145
G01,F02,2021,145
B23,F16,2015,145
F02,B60,2014,145
F16,H05,2020,145
B32,B29,2012,144
G06,B62,2019,144
B32,Y02,2014,144
H05,G09,2016,144
B01,H01,2012,144
B65,F16,2021,144
C09,B82,2017,144
A61,H01,2011,144
G09,G11,2022,144
C07,H01,2013,144
G16,Y02,2017,144
B29,H01,2018,144
B23,H05,2017,144
B65,Y02,2018,144
B65,B29,2016,144
C09,A61,2019,143
C08,B82,2012,143
F01,F16,2013,143
G01,B23,2020,143
Y02,B29,2022,143
Y10,C08,2020,143
B32,F16,2021,143
G02,B32,2017,143
B82,G03,2011,143
F01,G01,2021,143
G01,F02,2017,143
F01,B60,2019,143
Y10,G11,2015,143
F16,F05,2014,143
G02,B82,2015,143
Y02,H03,2021,142
H05,C09,2019,142
C07,H05,2015,142
H04,F16,2019,142
Y02,B62,2017,142
G11,G01,2013,142
G02,B82,2019,142
F02,B60,2022,142
H05,H02,2013,142
F01,G01,2018,142
B60,F01,2020,142
B01,B65,2021,142
B01,F16,2019,142
G07,H04,2011,142
G01,B65,2018,142
B32,G06,2019,141
F16,B29,2021,141
H05,B60,2018,141
G03,C09,2020,141
B29,A61,2013,141
A61,F16,2014,141
Y02,B65,2020,141
G02,B60,2018,141
B60,F01,2019,141
G11,G01,2019,141
G11,G01,2017,141
B01,B65,2017,141
B65,G01,2018,141
H02,B62,2020,141
C08,G03,2019,141
G02,A61,2013,141
Y10,B01,2019,141
G16,G09,2020,141
H03,Y10,2015,141
B23,H05,2016,141
G09,G01,2018,141
F01,F16,2012,141
G11,G01,2020,141
Y10,C23,2019,141
Y10,G09,2012,141
H04,B65,2020,141
G06,H02,2013,140
Y10,G03,2016,140
Y02,B82,2011,140
B60,H04,2013,140
H04,H05,2012,140
H03,G01,2012,140
C08,B60,2018,140
F01,G01,2017,140
Y10,G01,2021,140
B01,C09,2016,140
H05,G01,2022,140
G01,G03,2014,140
G01,F16,2022,140
Y02,G07,2021,140
G03,G01,2014,140
G01,H03,2013,140
Y02,H03,2017,140
G01,C09,2021,140
G06,B29,2019,140
Y02,G09,2019,140
F16,H05,2016,139
C23,Y10,2021,139
B65,B60,2021,139
F02,B01,2020,139
B29,B60,2014,139
A61,G02,2011,139
B23,F01,2019,139
Y10,G09,2011,139
Y02,G07,2020,139
B32,C09,2013,139
G02,A61,2012,139
G02,B32,2021,139
C09,B82,2012,139
F16,H04,2017,139
H03,Y10,2014,139
C08,H05,2017,138
H05,H04,2012,138
G01,F02,2020,138
H01,B32,2014,138
G11,Y02,2018,138
B65,G06,2018,138
F05,H02,2021,138
B82,G01,2016,138
H03,G01,2013,138
A61,H02,2016,138
Y02,B65,2019,138
F16,G06,2017,138
B01,F02,2021,138
F16,G03,2020,138
C08,G03,2021,138
G11,G01,2015,138
H02,B62,2021,138
C08,G01,2019,138
B29,G06,2019,137
A61,G09,2022,137
B29,B60,2018,137
B60,H01,2011,137
H03,Y02,2022,137
G16,Y10,2011,137
G02,Y02,2014,137
B32,B65,2016,137
B29,G02,2014,137
H02,F05,2019,137
C23,C09,2020,137
G03,C09,2017,137
H05,G02,2011,137
F05,Y10,2019,137
H05,G09,2017,137
H01,F16,2014,137
C08,A61,2022,137
H05,F16,2020,137
G09,A61,2019,137
B29,C09,2017,137
C08,B01,2012,136
G11,Y02,2015,136
H05,G09,2015,136
G07,B60,2016,136
G02,B60,2022,136
B23,H01,2013,136
F16,B62,2022,136
F16,F01,2012,136
B32,H01,2013,136
G01,Y10,2022,136
B01,B82,2020,136
A61,B29,2013,136
H05,F16,2017,136
B32,A61,2021,136
Y02,Y10,2022,136
B01,H01,2013,136
G06,F16,2021,136
G03,G06,2011,136
C08,G03,2020,136
C08,B32,2013,136
C23,B32,2020,136
A61,B65,2012,136
G01,C09,2019,136
B60,F01,2021,136
G06,B65,2018,136
G16,G09,2019,136
A61,G09,2014,135
B65,F16,2018,135
Y02,C08,2012,135
F01,B60,2021,135
G09,Y10,2017,135
C07,H01,2012,135
B23,B29,2019,135
B32,C23,2020,135
Y02,B29,2016,135
F16,H05,2017,135
B62,Y10,2019,135
B23,F16,2018,135
H04,F16,2021,135
H02,A61,2019,135
B60,A61,2019,135
G01,H05,2014,135
G02,B32,2016,135
C09,B29,2020,135
Y02,G02,2016,135
B32,F16,2017,135
B23,B29,2021,134
H05,B23,2020,134
B82,G11,2013,134
B82,Y02,2011,134
B29,B65,2012,134
G07,Y02,2019,134
B60,B65,2021,134
G03,C09,2015,134
A61,B82,2011,134
C08,B82,2021,134
F16,A61,2021,134
B29,B65,2022,134
G02,B29,2013,133
C09,G01,2020,133
H03,H05,2019,133
H02,G02,2019,133
H05,G01,2014,133
H04,A61,2011,133
G01,B62,2018,133
G06,B65,2017,133
C12,C08,2016,133
B60,A61,2021,133
G03,C08,2018,133
B62,Y02,2016,133
H05,B23,2016,132
C08,B01,2011,132
B32,C08,2011,132
C08,B82,2019,132
Y02,G07,2019,132
F16,G01,2014,132
G09,Y02,2022,132
H05,G03,2016,132
G03,C08,2013,132
G16,H04,2014,132
H05,A61,2016,132
C12,C08,2020,132
Y10,B01,2018,132
C23,C09,2017,132
G01,B60,2012,132
Y02,G02,2017,132
C08,H05,2016,132
F16,F02,2013,132
C23,C09,2016,132
G01,F01,2017,132
G03,C08,2020,131
G01,B60,2011,131
B23,G01,2020,131
G11,Y10,2016,131
B32,A61,2019,131
G06,B65,2022,131
C07,H05,2017,131
B82,Y10,2020,131
B60,A61,2020,131
H05,G03,2021,131
F16,H02,2012,131
B29,B65,2011,131
G11,G01,2016,130
F01,B60,2017,130
G09,B60,2020,130
C08,G01,2020,130
Y10,F01,2018,130
H02,G06,2012,130
B29,G01,2020,130
H05,C09,2012,130
G11,H03,2022,130
G06,B60,2013,130
Y10,C07,2016,130
B65,G03,2012,130
G03,C08,2021,129
B32,G06,2021,129
G03,B82,2011,129
C09,A61,2015,129
B60,H04,2012,129
C09,A61,2016,129
G16,Y02,2016,129
G02,Y02,2022,129
B32,C23,2019,129
G06,F16,2019,129
A61,B60,2019,128
G01,G03,2022,128
H04,B65,2019,128
F16,A61,2016,128
B01,C08,2022,128
H05,G09,2018,128
H01,F16,2022,128
A61,B32,2020,128
B60,B65,2019,128
H05,G03,2020,128
F02,B01,2019,128
F16,H01,2015,128
G07,Y02,2020,128
F16,H05,2021,128
G09,G11,2015,128
B60,G02,2016,128
B01,B82,2021,127
G01,B23,2019,127
G07,H04,2012,127
C07,C08,2022,127
C23,Y02,2013,127
Y10,G03,2017,127
B29,G02,2013,127
F16,B62,2013,127
H01,G09,2012,127
B29,H01,2015,127
Y10,H04,2020,127
G11,G01,2021,127
F16,F05,2016,127
B62,G06,2020,127
B01,B65,2016,127
B32,Y02,2013,127
H01,B65,2019,127
H01,B29,2015,127
H01,B29,2018,127
C23,B32,2017,127
F02,H02,2021,127
H05,B60,2016,126
F05,H02,2019,126
G11,B82,2015,126
F05,G01,2020,126
G01,F01,2021,126
H02,B62,2019,126
H02,G02,2017,126
B23,H05,2020,126
C09,B29,2021,126
B65,H04,2020,126
F16,G03,2016,126
C07,H05,2018,126
B01,C09,2018,126
F02,G01,2015,126
Y10,G02,2020,126
F16,B65,2017,126
C23,Y02,2011,126
H05,C09,2021,126
B62,Y02,2018,126
Y10,H02,2020,126
Y02,F16,2011,126
B29,C09,2016,126
Y10,C23,2018,126
B23,H01,2012,126
G01,G07,2015,126
F16,A61,2017,125
B01,B65,2019,125
G02,B29,2012,125
H05,G11,2019,125
G03,C09,2021,125
B29,C09,2018,125
G01,F16,2014,125
H05,B32,2020,125
C08,G03,2012,125
B01,H01,2022,125
B32,H05,2017,125
F16,H04,2018,125
F05,B23,2020,125
H01,B01,2014,125
B01,F01,2022,124
F16,G03,2017,124
C12,B01,2022,124
H05,C09,2020,124
Y10,C12,2017,124
B65,B29,2018,124
H03,H02,2013,124
G02,B60,2016,124
H02,A61,2020,124
F16,F05,2015,124
Y10,F16,2022,124
H04,G16,2013,124
F16,G01,2013,124
Y02,C09,2011,124
C08,G02,2012,124
G09,Y10,2013,123
B82,Y02,2019,123
A61,B82,2018,123
G07,Y02,2021,123
H01,F02,2017,123
C09,C23,2019,123
F16,B65,2016,123
B29,H05,2019,123
G03,H05,2016,123
H03,Y02,2014,123
F02,B01,2021,123
B82,G01,2017,123
F16,B23,2014,123
G11,H04,2022,123
B65,A61,2012,123
A61,C09,2012,123
C09,B01,2019,123
Y02,B82,2012,123
G02,C08,2015,123
B65,H04,2021,123
C08,B65,2020,123
F16,H05,2018,122
H02,G01,2011,122
C09,G01,2021,122
B29,B60,2015,122
H03,G01,2011,122
G03,F16,2019,122
H05,F16,2019,122
F16,B65,2018,121
B82,G03,2015,121
C09,B29,2019,121
F16,F02,2012,121
B29,A61,2012,121
F01,B23,2020,121
B60,H05,2022,121
B32,F16,2018,121
A61,B65,2011,121
H05,G09,2022,121
G16,G09,2021,121
H05,C09,2014,121
Y10,G09,2014,121
G16,Y10,2014,121
H05,G01,2013,121
G02,A61,2011,121
C09,A61,2017,121
G02,H02,2016,121
H05,G03,2019,121
C12,C08,2019,120
H01,B01,2011,120
F16,B29,2017,120
C08,H05,2019,120
F01,B23,2018,120
F05,F16,2016,120
F16,G06,2016,120
G09,B60,2019,120
H05,G02,2012,120
B60,F01,2017,120
B60,B29,2016,120
G06,G02,2011,120
H02,H04,2012,120
Y02,B29,2015,120
B60,G06,2012,120
B65,A61,2013,120
B65,F16,2015,120
H04,F16,2017,120
C09,B01,2020,120
B62,Y10,2018,120
A61,B23,2019,119
G09,B60,2021,119
B60,G02,2015,119
G02,H02,2018,119
F16,H02,2011,119
G01,F02,2018,119
G07,G01,2015,119
Y02,A61,2022,119
F16,H04,2016,119
G03,H05,2021,119
H05,H03,2016,119
G02,C08,2014,119
Y10,B32,2022,119
F01,B23,2017,119
G02,H05,2013,119
H05,B32,2019,119
B29,B23,2017,119
Y10,C07,2017,119
B62,Y02,2015,119
G07,G01,2022,119
H03,Y10,2011,119
H03,Y10,2013,119
B32,H01,2022,118
G01,C09,2020,118
C08,G02,2011,118
B65,B29,2015,118
A61,F16,2012,118
F02,H02,2019,118
Y10,G06,2021,118
G09,Y10,2012,118
F16,G03,2018,118
G03,H05,2017,118
B32,C09,2012,118
B23,Y02,2014,118
B32,B65,2018,118
H02,F16,2013,118
H01,B01,2013,118
G02,C08,2018,118
Y10,G09,2016,118
B01,F16,2018,117
H02,F02,2019,117
G09,H05,2014,117
Y02,B62,2018,117
B01,F16,2017,117
B60,F01,2016,117
H01,B32,2022,117
B60,B29,2015,116
G09,H05,2013,116
G01,H05,2013,116
F16,B62,2012,116
F05,B23,2019,116
B65,Y02,2014,116
B65,H01,2019,116
B23,F01,2020,116
C09,A61,2020,116
G02,B82,2020,116
B82,C09,2017,116
A61,B32,2019,116
B29,F16,2013,116
C07,H05,2016,116
F01,B23,2019,116
H02,H03,2013,115
G09,G16,2019,115
Y10,B82,2021,115
G02,C09,2022,115
H03,H05,2021,115
G01,B65,2015,115
B62,F16,2022,115
H01,G09,2011,115
B62,F16,2014,115
C23,C09,2018,115
C08,B65,2021,115
C09,B82,2011,114
C08,G02,2022,114
G09,G16,2020,114
H01,B32,2013,114
G09,G01,2013,114
H05,C09,2013,114
B65,A61,2022,114
B01,B29,2019,114
B32,B65,2022,114
Y10,G09,2013,114
G02,G06,2011,114
A61,F16,2013,114
H05,B23,2021,114
H02,F02,2021,114
G01,C09,2017,114
B23,C23,2020,114
C09,B01,2017,114
G02,B82,2021,113
C23,C09,2021,113
G03,G01,2013,113
F02,H02,2017,113
C09,G02,2022,113
G02,H05,2012,113
B60,A61,2017,113
G01,B23,2017,113
A61,F16,2022,113
B65,H04,2019,113
G16,Y02,2018,113
A61,B29,2012,113
F01,Y10,2020,113
G02,Y10,2021,113
C09,C23,2020,113
