organization,patent_counts
The United States of America as represented by the Secretary of the Army,132
The United States of America as represented by the Secretary of the Air Force,79
The United States of America as represented by the Secretary of the Navy,49
"Yoder Brothers, Inc.",43
Jackson & Perkins Company,41
Laboratoire de Physiologie Vegetale de la Londe,29
Pan-American Plant Company,27
Ball Pan Am Plant Company,25
AT&T Bell Laboratories,23
Gessellschaftsvertrag uber die Erfindergemeinschaft Optimara,22
"Mikkelsens, Inc.",22
"Nor'East Miniature Roses, Inc.",20
"Melridge, Inc.",20
B. V. Handelskwekerij/M. C. van Staaveren,18
"Armstrong Nurseries, Inc.",18
The Conard-Pyle Company,16
"Fischer Geraniums, Inc.",15
"Hitachi, Ltd.",15
General Electric Company,13
E. I. Du Pont de Nemours and Company,13
